timestamp,ecg_measurement,qrs_detected
9.880631200000000000e+07,1.827957057899999960e+00,0.000000000000000000e+00
9.881022400000000000e+07,1.842619800500000071e+00,0.000000000000000000e+00
9.881413200000000000e+07,1.818181896200000036e+00,0.000000000000000000e+00
9.881804400000000000e+07,1.798631429600000109e+00,0.000000000000000000e+00
9.882197200000000000e+07,1.818181896200000036e+00,0.000000000000000000e+00
9.882590000000000000e+07,1.852394962300000003e+00,0.000000000000000000e+00
9.882983200000000000e+07,1.871945285700000072e+00,0.000000000000000000e+00
9.883376000000000000e+07,1.837732219600000105e+00,0.000000000000000000e+00
9.883768400000000000e+07,1.803519058200000025e+00,0.000000000000000000e+00
9.884159600000000000e+07,1.798631429600000109e+00,0.000000000000000000e+00
9.884552800000000000e+07,1.837732219600000105e+00,0.000000000000000000e+00
9.884945600000000000e+07,1.867057704899999893e+00,0.000000000000000000e+00
9.885336800000000000e+07,1.852394962300000003e+00,0.000000000000000000e+00
9.885729200000000000e+07,1.818181896200000036e+00,0.000000000000000000e+00
9.886122000000000000e+07,1.832844638799999926e+00,0.000000000000000000e+00
9.886514000000000000e+07,1.886608028399999970e+00,0.000000000000000000e+00
9.886904800000000000e+07,1.930596256200000083e+00,0.000000000000000000e+00
9.887296800000000000e+07,1.930596256200000083e+00,0.000000000000000000e+00
9.887688800000000000e+07,1.901270771000000082e+00,0.000000000000000000e+00
9.888080000000000000e+07,1.920821094499999937e+00,0.000000000000000000e+00
9.888470400000000000e+07,1.959921836799999983e+00,0.000000000000000000e+00
9.888862400000000000e+07,1.989247321999999984e+00,0.000000000000000000e+00
9.889254400000000000e+07,1.959921836799999983e+00,0.000000000000000000e+00
9.889646400000000000e+07,1.886608028399999970e+00,0.000000000000000000e+00
9.890037600000000000e+07,1.842619800500000071e+00,0.000000000000000000e+00
9.890429600000000000e+07,1.837732219600000105e+00,0.000000000000000000e+00
9.890821600000000000e+07,1.832844638799999926e+00,0.000000000000000000e+00
9.891213200000000000e+07,1.783968686999999997e+00,0.000000000000000000e+00
9.891604000000000000e+07,1.700879812199999952e+00,0.000000000000000000e+00
9.891995600000000000e+07,1.647116279600000066e+00,0.000000000000000000e+00
9.892388400000000000e+07,1.637341117799999912e+00,0.000000000000000000e+00
9.892781200000000000e+07,1.632453536899999946e+00,0.000000000000000000e+00
9.893174000000000000e+07,1.598240470799999979e+00,0.000000000000000000e+00
9.893564400000000000e+07,1.515151500700000042e+00,0.000000000000000000e+00
9.893956400000000000e+07,1.461388111099999998e+00,0.000000000000000000e+00
9.894349200000000000e+07,1.441837787599999920e+00,0.000000000000000000e+00
9.894742400000000000e+07,1.427174949599999909e+00,0.000000000000000000e+00
9.895134800000000000e+07,1.368523955299999928e+00,0.000000000000000000e+00
9.895526000000000000e+07,1.270772218699999900e+00,0.000000000000000000e+00
9.895918000000000000e+07,1.192570924700000035e+00,0.000000000000000000e+00
9.896309200000000000e+07,1.153470158500000009e+00,0.000000000000000000e+00
9.896700800000000000e+07,1.133919834999999932e+00,0.000000000000000000e+00
9.897093200000000000e+07,1.104594349799999931e+00,0.000000000000000000e+00
9.897484000000000000e+07,1.021505355800000014e+00,0.000000000000000000e+00
9.897874800000000000e+07,9.677418707999999592e-01,0.000000000000000000e+00
9.898266000000000000e+07,9.579667091000000356e-01,0.000000000000000000e+00
9.898657200000000000e+07,9.775171279000000046e-01,0.000000000000000000e+00
9.899049200000000000e+07,9.824047087999999706e-01,0.000000000000000000e+00
9.899439600000000000e+07,9.237536429999999577e-01,0.000000000000000000e+00
9.899830800000000000e+07,8.748778342999999902e-01,0.000000000000000000e+00
9.900221200000000000e+07,8.797654150999999478e-01,0.000000000000000000e+00
9.900613200000000000e+07,9.188660620999999917e-01,0.000000000000000000e+00
9.901003600000000000e+07,9.286412239000000346e-01,0.000000000000000000e+00
9.901395600000000000e+07,9.090909003999999571e-01,0.000000000000000000e+00
9.901783600000000000e+07,8.895405768999999907e-01,0.000000000000000000e+00
9.902174000000000000e+07,9.042033194999999912e-01,0.000000000000000000e+00
9.902564400000000000e+07,9.530791281999999587e-01,0.000000000000000000e+00
9.902955600000000000e+07,9.921798706000000134e-01,0.000000000000000000e+00
9.903346800000000000e+07,9.970674513999999711e-01,0.000000000000000000e+00
9.903738000000000000e+07,9.872922897000000475e-01,0.000000000000000000e+00
9.904129600000000000e+07,1.016617774900000049e+00,0.000000000000000000e+00
9.904519600000000000e+07,1.075268864599999930e+00,0.000000000000000000e+00
9.904910000000000000e+07,1.119257092400000042e+00,0.000000000000000000e+00
9.905301600000000000e+07,1.129032254199999974e+00,0.000000000000000000e+00
9.905694000000000000e+07,1.099706764200000020e+00,0.000000000000000000e+00
9.906084000000000000e+07,1.109481930699999896e+00,0.000000000000000000e+00
9.906474400000000000e+07,1.148582577700000051e+00,0.000000000000000000e+00
9.906866800000000000e+07,1.192570924700000035e+00,0.000000000000000000e+00
9.907258800000000000e+07,1.202346086499999966e+00,0.000000000000000000e+00
9.907650800000000000e+07,1.192570924700000035e+00,0.000000000000000000e+00
9.908042800000000000e+07,1.202346086499999966e+00,0.000000000000000000e+00
9.908434000000000000e+07,1.265884637799999934e+00,0.000000000000000000e+00
9.908825200000000000e+07,1.334310889199999961e+00,0.000000000000000000e+00
9.909216800000000000e+07,1.358748793600000004e+00,0.000000000000000000e+00
9.909608400000000000e+07,1.334310889199999961e+00,0.000000000000000000e+00
9.910000400000000000e+07,1.329423308299999995e+00,0.000000000000000000e+00
9.910392400000000000e+07,1.363636374399999962e+00,0.000000000000000000e+00
9.910786000000000000e+07,1.402737045200000088e+00,0.000000000000000000e+00
9.911177200000000000e+07,1.383186702699999993e+00,0.000000000000000000e+00
9.911570000000000000e+07,1.334310889199999961e+00,0.000000000000000000e+00
9.911962800000000000e+07,1.314760565700000106e+00,0.000000000000000000e+00
9.912355600000000000e+07,1.334310889199999961e+00,0.000000000000000000e+00
9.912748000000000000e+07,1.358748793600000004e+00,0.000000000000000000e+00
9.913140400000000000e+07,1.353861212700000038e+00,0.000000000000000000e+00
9.913532400000000000e+07,1.304985284800000089e+00,0.000000000000000000e+00
9.913923600000000000e+07,1.275659799500000080e+00,0.000000000000000000e+00
9.914315600000000000e+07,1.290322542099999970e+00,0.000000000000000000e+00
9.914707600000000000e+07,1.319648146600000072e+00,0.000000000000000000e+00
9.915101200000000000e+07,1.314760565700000106e+00,0.000000000000000000e+00
9.915492400000000000e+07,1.270772218699999900e+00,0.000000000000000000e+00
9.915884400000000000e+07,1.207233667299999924e+00,0.000000000000000000e+00
9.916276400000000000e+07,1.202346086499999966e+00,0.000000000000000000e+00
9.916667600000000000e+07,1.226783990800000002e+00,0.000000000000000000e+00
9.917058800000000000e+07,1.236559152599999933e+00,0.000000000000000000e+00
9.917450800000000000e+07,1.197458505600000001e+00,0.000000000000000000e+00
9.917842000000000000e+07,1.163245320299999941e+00,0.000000000000000000e+00
9.918234000000000000e+07,1.153470158500000009e+00,0.000000000000000000e+00
9.918624800000000000e+07,1.187683343800000069e+00,0.000000000000000000e+00
9.919016400000000000e+07,1.197458505600000001e+00,0.000000000000000000e+00
9.919407200000000000e+07,1.158357739399999975e+00,0.000000000000000000e+00
9.919799600000000000e+07,1.119257092400000042e+00,0.000000000000000000e+00
9.920191600000000000e+07,1.119257092400000042e+00,0.000000000000000000e+00
9.920583200000000000e+07,1.173020482000000086e+00,0.000000000000000000e+00
9.920974800000000000e+07,1.207233667299999924e+00,0.000000000000000000e+00
9.921366800000000000e+07,1.202346086499999966e+00,0.000000000000000000e+00
9.921758800000000000e+07,1.177908062900000052e+00,0.000000000000000000e+00
9.922148800000000000e+07,1.187683343800000069e+00,0.000000000000000000e+00
9.922541200000000000e+07,1.226783990800000002e+00,0.000000000000000000e+00
9.922933200000000000e+07,1.270772218699999900e+00,0.000000000000000000e+00
9.923324400000000000e+07,1.260997056899999968e+00,0.000000000000000000e+00
9.923715200000000000e+07,1.236559152599999933e+00,0.000000000000000000e+00
9.924106800000000000e+07,1.246334314300000079e+00,0.000000000000000000e+00
9.924498800000000000e+07,1.280547380400000046e+00,0.000000000000000000e+00
9.924890000000000000e+07,1.295210122999999935e+00,0.000000000000000000e+00
9.925282000000000000e+07,1.280547380400000046e+00,0.000000000000000000e+00
9.925673200000000000e+07,1.231671571699999967e+00,0.000000000000000000e+00
9.926066000000000000e+07,1.231671571699999967e+00,0.000000000000000000e+00
9.926458800000000000e+07,1.285434961300000012e+00,0.000000000000000000e+00
9.926851200000000000e+07,1.339198470099999927e+00,0.000000000000000000e+00
9.927243600000000000e+07,1.353861212700000038e+00,0.000000000000000000e+00
9.927636400000000000e+07,1.334310889199999961e+00,0.000000000000000000e+00
9.928029200000000000e+07,1.339198470099999927e+00,0.000000000000000000e+00
9.928421200000000000e+07,1.378299117000000074e+00,0.000000000000000000e+00
